zip3,primary_state,primary_city,centroid_lat,centroid_lng,zip5_count,population,households,median_hh_income,demand_index
635,MO,Kirksville,40.19318,-92.62696,33,60410,21301,52490,6.0
636,MO,Park Hills,37.64303,-90.65042,39,132960,49054,54412,7.8
637,MO,Cape Girardeau,37.31822,-89.77319,45,130888,50636,62667,9.0
638,MO,Sikeston,36.50616,-89.78343,49,110660,44256,46224,6.2
639,MO,Poplar Bluff,36.8771,-90.52334,34,76790,29332,47693,5.6
640,MO,Independence,39.08836,-94.2203,68,649524,250831,81652,23.1
641,MO,Kansas City,39.09664,-94.50279,80,603375,257508,70972,20.6
644,MO,Agency,40.10988,-94.70027,72,99521,37868,62221,8.3
645,MO,Saint Joseph,39.73701,-94.82706,8,83449,32763,58072,7.3
646,MO,Chillicothe,39.85283,-93.54566,56,68869,26547,57654,6.9
647,MO,Harrisonville,38.07419,-94.20336,50,113151,44696,56679,7.7
648,MO,Joplin,36.97818,-94.33504,39,203171,76897,55890,9.6
649,MO,Kansas City,39.03504,-94.35673,2,,,,
650,MO,Argyle,38.46206,-92.26845,60,157606,61240,64622,9.9
651,MO,Jefferson City,38.52932,-92.24623,11,70335,27354,70478,8.8
652,MO,Columbia,39.17589,-92.36301,52,279725,107906,61770,12.1
653,MO,Sedalia,38.75768,-93.26063,32,105353,39920,55620,7.4
654,MO,Rolla,37.66383,-91.83567,30,91099,31642,55176,7.0
655,MO,Jadwin,37.6245,-91.87563,36,124029,47251,53093,7.5
656,MO,Branson,37.06832,-93.12379,76,215360,84389,54669,9.7
657,MO,Mc Clurg,37.05672,-93.00394,77,301104,113678,61235,12.5
658,MO,Springfield,37.21029,-93.31205,15,235737,105952,53735,10.0
660,KS,Lawrence,38.91746,-95.10276,73,523191,196311,87206,21.2
661,KS,Kansas City,39.10079,-94.7108,16,160176,58534,59268,9.2
662,KS,Shawnee Mission,38.94227,-94.7538,35,411775,171221,112711,22.5
664,KS,Alma,39.38614,-96.06815,38,85583,31277,62202,8.0
665,KS,Manhattan,39.34112,-96.12543,46,131853,51053,69362,10.0
666,KS,Topeka,39.04122,-95.74734,40,164194,68508,64141,10.0
667,KS,Fort Scott,37.60205,-95.11032,54,113052,45127,52918,7.2
668,KS,Emporia,38.35318,-96.38943,36,57878,23958,58860,6.9
669,KS,Concordia,39.77033,-97.67639,34,24352,10251,53502,5.3
670,KS,Andale,37.56132,-97.59492,58,185463,69727,74504,11.9
671,KS,Maize,37.55823,-97.68501,43,114375,43687,69115,9.6
672,KS,Wichita,37.67995,-97.36451,40,424426,166327,67632,16.2
673,KS,Independence,37.17958,-95.78816,27,56448,22691,53577,6.0
674,KS,Salina,38.93093,-97.7386,58,132819,55148,63383,9.2
675,KS,Hutchinson,38.23626,-98.81654,55,116723,47023,58051,8.0
676,KS,Hays,39.32713,-99.38301,46,57731,24331,58763,6.8
677,KS,Colby,39.33895,-101.07632,28,30353,12811,62997,6.9
678,KS,Dodge City,37.80198,-100.66559,38,116414,41176,69122,9.6
679,KS,Liberal,37.12997,-101.37141,7,28965,9374,58254,6.1
680,NE,Blair,41.46156,-96.42583,59,242202,90217,96188,16.4
681,NE,Omaha,41.25928,-96.08277,54,643009,255504,81119,22.9
683,NE,Adams,40.47258,-96.84568,69,80376,32650,69759,8.9
684,NE,Mc Cool Junction,40.54697,-96.62258,56,75279,28783,77450,10.0
685,NE,Lincoln,40.83143,-96.68992,28,299352,121515,72382,14.1
686,NE,Columbus,41.47927,-97.5099,43,74447,29043,70793,9.0
687,NE,Norfolk,42.4055,-97.76971,77,127735,49326,65216,9.3
688,NE,Kearney,41.16074,-98.95866,68,170593,66268,66463,10.4
689,NE,Hastings,40.34922,-98.80843,58,71056,29411,64858,8.0
690,NE,Mc Cook,40.3499,-100.88545,27,24249,9964,58477,6.1
691,NE,North Platte,41.28803,-101.61107,47,76031,32697,62267,7.8
692,NE,Valentine,42.56797,-100.76051,11,8070,3335,57139,5.5
693,NE,Scottsbluff,42.16908,-103.09649,31,67341,27997,60471,7.3
700,LA,Metairie,29.81887,-90.14225,65,572201,220401,64332,18.9
701,LA,New Orleans,29.99486,-89.95592,63,418997,174109,56475,14.4
703,LA,Houma,29.66814,-90.77796,39,269010,102545,58421,11.4
704,LA,Slidell,30.57282,-90.19713,47,468277,175432,67844,17.1
705,LA,Lafayette,30.23156,-92.12722,75,632217,244267,57395,19.2
706,LA,Lake Charles,30.40013,-93.18462,45,279445,101997,65455,12.7
707,LA,Denham Springs,30.50948,-91.1986,72,437424,154847,81668,18.5
708,LA,Baton Rouge,30.47556,-91.09959,41,387370,149653,61907,14.5
710,LA,Minden,32.46281,-93.47283,58,173262,66285,51074,8.2
711,LA,Shreveport,32.56063,-93.74267,40,291726,115772,53554,11.2
712,LA,Monroe,32.5529,-92.01003,63,333047,123236,45833,11.0
713,LA,Alexandria,31.30127,-92.02649,53,193547,71632,49396,8.4
714,LA,Leesville,31.53185,-92.85124,70,183491,64877,50729,8.4
716,AR,Pine Bluff,33.68973,-91.72773,42,148653,54711,45947,6.9
717,AR,Camden,33.50419,-92.82285,36,98209,36114,49601,6.4
718,AR,Hope,33.68903,-93.80223,39,119093,44766,49102,6.8
719,AR,Hot Springs National Park,34.38029,-93.52317,46,171348,72216,53872,8.6
720,AR,Conway,34.96306,-91.97229,81,410408,157915,62758,15.1
721,AR,North Little Rock,34.90502,-92.09019,69,320268,125939,57610,12.4
722,AR,Little Rock,34.7572,-92.35199,24,218640,92774,64961,11.3
723,AR,West Memphis,35.12225,-90.53195,68,152009,56663,46506,7.1
724,AR,Jonesboro,36.03865,-90.74557,66,236531,91551,52927,9.9
725,AR,Batesville,35.99982,-91.78963,61,106256,41628,47935,6.3
726,AR,Harrison,36.15051,-92.8439,55,138748,57859,49847,7.3
727,AR,Fayetteville,36.16381,-94.16639,51,548047,203148,74278,19.8
728,AR,Russellville,35.28289,-93.35995,38,123845,46798,50395,7.1
729,AR,Fort Smith,35.30544,-94.20202,44,226807,89683,55152,10.0
730,OK,Norman,35.3001,-97.75603,88,791889,293549,80219,26.0
731,OK,Oklahoma City,35.50591,-97.46801,81,693083,281756,61238,21.1
733,TX,Austin,30.32637,-97.77126,2,,,,
734,OK,Ardmore,34.24149,-97.16759,36,91607,35110,55196,7.1
735,OK,Lawton,34.52423,-98.70851,56,205081,76602,57753,9.9
736,OK,Elk City,35.49361,-99.28115,34,57945,21490,56456,6.5
737,OK,Enid,36.37768,-98.10248,51,106398,40108,62806,8.5
738,OK,Woodward,36.49604,-99.53854,21,31666,12292,63253,6.9
739,OK,Adams,36.76671,-101.47007,15,27868,9125,57232,6.0
740,OK,Stillwater,36.2683,-96.19563,75,657347,244902,71793,21.9
741,OK,Tulsa,36.13279,-95.96868,56,434895,178225,59942,15.3
743,OK,Grove,36.54995,-94.97681,34,124806,48623,51495,7.2
744,OK,Muskogee,35.62675,-95.42645,49,216355,83094,52510,9.4
745,OK,Mcalester,34.68415,-95.67901,44,81709,31499,48726,5.9
746,OK,Ponca City,36.7039,-97.15536,20,53417,20142,57412,6.5
747,OK,Durant,33.9951,-95.57094,36,89567,33904,51347,6.4
